City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
433,Mtinko,TZ,-4.55,34.85,60.04,72,16,12.33,few clouds,0,0
434,Marbella,ES,36.52,-4.89,77.0,78,40,5.82,scattered clouds,0,0
435,San Carlos,VE,9.66,-68.58,79.52,90,68,0.69,moderate rain,0,0
436,Kalevala,RU,65.2,31.17,49.6,84,13,4.61,few clouds,0,0
437,Zambezi,ZM,-13.54,23.1,57.56,39,0,5.57,clear sky,0,0
438,Natal,BR,-5.79,-35.21,75.2,83,20,5.82,few clouds,0,0
439,Joao Pinheiro,BR,-17.74,-46.17,66.45,48,90,0.29,overcast clouds,0,0
440,Liverpool,GB,53.41,-2.98,62.01,63,23,5.82,few clouds,0,0
441,Armenis,RO,45.2,22.32,54.7,84,74,7.14,broken clouds,0,0
442,Berlevag,NO,70.86,29.09,46.4,87,75,5.82,broken clouds,0,0
443,Nusaybin,TR,37.08,41.22,87.8,22,40,6.93,scattered clouds,0,0
444,San Luis,AR,-33.3,-66.34,50.05,50,86,5.77,overcast clouds,0,0
445,Puerto Del Rosario,ES,28.5,-13.86,73.4,83,20,16.11,few clouds,0,0
446,Itarema,BR,-2.92,-39.92,78.24,78,57,14.72,light rain,0,0
447,Villazon,BO,-22.09,-65.59,46.71,35,0,5.75,clear sky,0,0
448,Cradock,ZA,-32.16,25.62,49.28,44,0,18.95,clear sky,0,0
449,Den Helder,NL,52.96,4.76,64.99,93,90,2.24,overcast clouds,0,0
450,Vikersund,NO,59.97,9.99,60.01,62,2,3.4,clear sky,0,0
451,Aparecida Do Taboado,BR,-20.09,-51.09,76.84,46,70,5.12,broken clouds,0,0
452,Miandrivazo,MG,-19.52,45.47,69.64,64,40,1.92,scattered clouds,0,0
453,Marsh Harbour,BS,26.54,-77.06,80.8,73,100,14.85,overcast clouds,0,0
454,Dombarovskiy,RU,50.76,59.54,76.12,63,23,11.45,few clouds,0,0
455,Kadom,RU,54.56,42.47,61.66,89,0,4.97,clear sky,0,0
456,Vicuna,CL,-30.03,-70.71,72.0,29,90,0.83,overcast clouds,0,0
457,Yershichi,RU,53.67,32.75,55.94,84,100,10.6,overcast clouds,0,0
458,Umm Lajj,SA,25.02,37.27,83.91,60,0,3.51,clear sky,0,0
459,Cary,US,35.79,-78.78,93.0,41,40,10.29,scattered clouds,0,0
460,Puri,IN,19.8,85.85,78.8,100,75,3.36,haze,0,0
461,Champawat,IN,29.33,80.1,63.91,100,18,0.92,light rain,0,0
462,Muslyumovo,RU,55.3,53.19,63.19,85,0,3.65,clear sky,0,0
463,Luena,AO,-11.78,19.92,58.59,45,0,6.29,clear sky,0,0
464,Feijo,BR,-8.16,-70.35,83.73,60,68,1.12,broken clouds,0,0
465,Kyabe,TD,9.45,18.94,75.87,84,92,3.74,light rain,0,0
466,Verkhnyaya Inta,RU,65.98,60.31,54.01,93,39,17.92,scattered clouds,0,0
467,Ibb,YE,13.97,44.18,71.89,59,35,3.96,scattered clouds,0,0
468,Belmonte,BR,-15.86,-38.88,71.6,88,40,2.24,scattered clouds,0,0
469,Jumla,NP,29.27,82.18,57.99,69,37,2.06,scattered clouds,0,0
470,Quatre Cocos,MU,-20.21,57.76,71.6,78,40,13.87,scattered clouds,0,0
471,Mmabatho,ZA,-25.85,25.63,32.0,49,0,5.82,clear sky,0,0
472,Mendoza,AR,-32.89,-68.83,53.6,54,100,2.24,overcast clouds,0,0
473,Gurmatkal,IN,16.87,77.4,74.86,88,100,8.46,overcast clouds,0,0
474,Mbandaka,CD,0.05,18.26,71.44,92,55,1.88,moderate rain,0,0
475,Witu,KE,-2.39,40.44,76.24,79,9,14.29,clear sky,0,0
476,Surgut,RU,61.25,73.42,60.8,93,80,6.71,broken clouds,0,0
477,Huarmey,PE,-10.07,-78.15,66.34,70,18,7.81,few clouds,0,0
478,Bejar,ES,40.39,-5.76,73.0,72,11,8.05,few clouds,0,0
479,Dera Bugti,PK,29.03,69.15,87.35,59,10,5.7,clear sky,0,0
480,Ruwi,OM,23.6,58.55,89.6,84,35,3.36,scattered clouds,0,0
481,Qaqortoq,GL,60.72,-46.03,53.6,54,100,4.7,light rain,0,0
482,Eruwa,NG,7.53,3.42,72.03,97,98,6.13,light rain,0,0
483,Sinjar,IQ,36.32,41.88,86.99,25,37,17.96,scattered clouds,0,0
484,Ambovombe,MG,-25.17,46.08,67.87,79,56,7.7,broken clouds,0,0
485,Kerouane,GN,9.27,-9.02,70.63,92,30,1.81,moderate rain,0,0
486,Jhudo,PK,24.96,69.3,85.23,67,30,17.02,scattered clouds,0,0
487,Ibipeba,BR,-11.64,-42.01,72.48,51,12,10.98,few clouds,0,0
488,Khor,RU,47.89,134.95,67.44,89,0,1.77,clear sky,0,0
489,Emba,KZ,48.83,58.14,86.0,36,71,11.25,broken clouds,0,0
490,Tambopata,PE,-12.73,-69.18,80.1,71,92,0.89,overcast clouds,0,0
491,Robertsport,LR,6.75,-11.37,76.33,81,45,10.6,scattered clouds,0,0
492,Kibre Mengist,ET,5.88,38.98,59.79,84,97,2.68,overcast clouds,0,0
493,Copiapo,CL,-27.37,-70.33,55.4,76,40,18.34,scattered clouds,0,0
494,Maracas,BR,-13.44,-40.43,60.94,93,17,5.28,few clouds,0,0
495,Aranos,NA,-24.13,19.12,50.67,37,0,10.6,clear sky,0,0
496,Gourcy,BF,13.22,-2.35,85.69,53,52,11.59,broken clouds,0,0
497,Thompson,CA,55.74,-97.86,75.2,50,75,9.17,broken clouds,0,0
498,Zeerust,ZA,-25.54,26.08,32.0,54,0,5.82,clear sky,0,0
499,Mumford,GH,5.26,-0.76,74.64,90,37,9.62,scattered clouds,0,0
500,Semey,KZ,50.41,80.23,68.49,54,69,4.76,broken clouds,0,0
501,Brasileia,BR,-11.02,-68.75,82.04,61,2,1.12,clear sky,0,0
502,Bara,NG,10.37,10.73,74.73,84,78,1.61,broken clouds,0,0
503,Matagami,CA,49.75,-77.63,57.2,87,90,10.29,overcast clouds,0,0
504,Prado,BR,-17.34,-39.22,72.07,83,43,4.81,scattered clouds,0,0
505,Trairi,BR,-3.28,-39.27,75.92,84,62,11.14,light rain,0,0
506,Manavalakurichi,IN,8.13,77.3,80.6,88,75,5.82,mist,0,0
507,Rudbar,AF,30.15,62.6,81.01,26,0,12.68,clear sky,0,0
508,Waterboro,US,43.54,-70.72,87.8,52,20,8.05,few clouds,0,0
509,Tukums,LV,56.97,23.16,53.6,81,24,3.36,few clouds,0,0
510,Behat,IN,30.17,77.62,81.84,65,0,2.28,clear sky,0,0
511,Amapa,BR,1.0,-52.0,78.04,76,86,2.98,overcast clouds,0,0
512,Chupa,RU,66.27,33.05,48.9,91,1,2.89,clear sky,0,0
513,Carahue,CL,-38.7,-73.17,44.6,100,90,5.82,light intensity shower rain,0,0
514,Itamaraca,BR,-7.75,-34.83,80.6,61,40,6.93,scattered clouds,0,0
